ticker,period,quarter,horizon,actual,predicted,consensus,error,abs_error,pct_error,method,direction_correct,bias
SNPS,2024-04-30,Q2,Q+1,1454712000,1273104967,1441073393,-181607033,181607033,12.48,beat_adjusted,False,under
SNPS,2024-04-30,Q2,Q+2,1454712000,1373540963,1441073393,-81171037,81171037,5.58,stl_decomposition,False,under
SNPS,2024-07-31,Q3,Q+1,1525749000,1378702457,1520081951,-147046543,147046543,9.64,beat_adjusted,False,under
SNPS,2024-07-31,Q3,Q+2,1525749000,1471988748,1520081951,-53760252,53760252,3.52,stl_decomposition,False,under
SNPS,2024-10-31,Q4,Q+1,1635986000,1539945112,1630878385,-96040888,96040888,5.87,beat_adjusted,False,under
SNPS,2024-10-31,Q4,Q+2,1635986000,1692156686,1630878385,56170686,56170686,3.43,stl_decomposition,True,over
SNPS,2025-01-31,Q1,Q+1,1455315000,1427983545,1451664346,-27331455,27331455,1.88,beat_adjusted,False,under
SNPS,2025-01-31,Q1,Q+2,1455315000,1703613425,1451664346,248298425,248298425,17.06,stl_decomposition,True,over
SNPS,2025-04-30,Q2,Q+1,1604266000,1607664545,1600128362,3398545,3398545,0.21,beat_adjusted,True,over
SNPS,2025-04-30,Q2,Q+2,1604266000,1625883702,1600128362,21617702,21617702,1.35,stl_decomposition,True,over
SNPS,2025-07-31,Q3,Q+1,1739737000,1773719817,1768431957,33982817,33982817,1.95,beat_adjusted,False,over
SNPS,2025-07-31,Q3,Q+2,1739737000,1701975658,1768431957,-37761342,37761342,2.17,stl_decomposition,True,under
SNPS,2025-10-31,Q4,Q+1,2254860000,2242859695,2247350899,-12000305,12000305,0.53,beat_adjusted,False,under
SNPS,2025-10-31,Q4,Q+2,2254860000,1623228178,2247350899,-631631822,631631822,28.01,stl_decomposition,False,under
SNPS,2026-01-31,Q1,Q+1,2408798000,2385195192,2389846000,-23602808,23602808,0.98,beat_adjusted,False,under
SNPS,2026-01-31,Q1,Q+2,2408798000,1854589249,2389846000,-554208751,554208751,23.01,stl_decomposition,False,under
SPSC,2020-03-31,Q1,Q+1,74192000,72675834,62477473,-1516166,1516166,2.04,beat_adjusted,False,under
SPSC,2020-06-30,Q2,Q+1,75573000,74186190,63317918,-1386810,1386810,1.84,beat_adjusted,False,under
SPSC,2020-06-30,Q2,Q+2,75573000,76063014,63317918,490014,490014,0.65,stl_decomposition,True,over
SPSC,2020-09-30,Q3,Q+1,79557000,79540402,67317461,-16598,16598,0.02,beat_adjusted,False,under
SPSC,2020-09-30,Q3,Q+2,79557000,78319276,67317461,-1237724,1237724,1.56,stl_decomposition,False,under
SPSC,2020-12-31,Q4,Q+1,83308000,95264624,80570000,11956624,11956624,14.35,beat_adjusted,True,over
SPSC,2020-12-31,Q4,Q+2,83308000,79967910,80570000,-3340090,3340090,4.01,stl_decomposition,False,under
SPSC,2021-03-31,Q1,Q+1,90094000,101169468,87500000,11075468,11075468,12.29,beat_adjusted,True,over
SPSC,2021-03-31,Q1,Q+2,90094000,81564344,87500000,-8529656,8529656,9.47,stl_decomposition,False,under
SPSC,2021-06-30,Q2,Q+1,94539000,107840395,94539000,13301395,13301395,14.07,beat_adjusted,True,over
SPSC,2021-06-30,Q2,Q+2,94539000,83934236,94539000,-10604764,10604764,11.22,stl_decomposition,False,under
SPSC,2021-09-30,Q3,Q+1,97887000,103397856,97420000,5510856,5510856,5.63,beat_adjusted,True,over
SPSC,2021-09-30,Q3,Q+2,97887000,88386731,97420000,-9500269,9500269,9.71,stl_decomposition,False,under
SPSC,2021-12-31,Q4,Q+1,102756000,102393264,100671226,-362736,362736,0.35,beat_adjusted,False,under
SPSC,2021-12-31,Q4,Q+2,102756000,94364109,100671226,-8391891,8391891,8.17,stl_decomposition,False,under
SPSC,2022-03-31,Q1,Q+1,105193000,105948291,104507444,755291,755291,0.72,beat_adjusted,True,over
SPSC,2022-03-31,Q1,Q+2,105193000,105637807,104507444,444807,444807,0.42,stl_decomposition,True,over
SPSC,2022-06-30,Q2,Q+1,109178000,109825985,108952667,647985,647985,0.59,beat_adjusted,True,over
SPSC,2022-06-30,Q2,Q+2,109178000,112553661,108952667,3375661,3375661,3.09,stl_decomposition,True,over
SPSC,2022-09-30,Q3,Q+1,114486000,114987398,114014556,501398,501398,0.44,beat_adjusted,True,over
SPSC,2022-09-30,Q3,Q+2,114486000,114564364,114014556,78364,78364,0.07,stl_decomposition,True,over
SPSC,2022-12-31,Q4,Q+1,122018000,121786002,120775362,-231998,231998,0.19,beat_adjusted,False,under
SPSC,2022-12-31,Q4,Q+2,122018000,117611826,120775362,-4406174,4406174,3.61,stl_decomposition,False,under
SPSC,2023-03-31,Q1,Q+1,125868000,124674376,123960000,-1193624,1193624,0.95,beat_adjusted,False,under
SPSC,2023-03-31,Q1,Q+2,125868000,120534919,123960000,-5333081,5333081,4.24,stl_decomposition,False,under
SPSC,2023-06-30,Q2,Q+1,130416000,129846825,128820000,-569175,569175,0.44,beat_adjusted,False,under
SPSC,2023-06-30,Q2,Q+2,130416000,125722155,128820000,-4693845,4693845,3.6,stl_decomposition,False,under
SPSC,2023-09-30,Q3,Q+1,135661000,135646302,134230000,-14698,14698,0.01,beat_adjusted,False,under
SPSC,2023-09-30,Q3,Q+2,135661000,131824832,134230000,-3836168,3836168,2.83,stl_decomposition,False,under
SPSC,2023-12-31,Q4,Q+1,144965000,144833233,143090000,-131767,131767,0.09,beat_adjusted,False,under
SPSC,2023-12-31,Q4,Q+2,144965000,139547076,143090000,-5417924,5417924,3.74,stl_decomposition,False,under
SPSC,2024-03-31,Q1,Q+1,149576000,148448641,146560000,-1127359,1127359,0.75,beat_adjusted,False,under
